"","location","time","execrlc"
"996","BWA",1980,1
"997","BWA",1981,1
"998","BWA",1982,1
"999","BWA",1983,1
"1000","BWA",1984,1
"1001","BWA",1985,1
"1002","BWA",1986,1
"1003","BWA",1987,1
"1004","BWA",1988,1
"1005","BWA",1989,1
"1006","BWA",1990,1
"1007","BWA",1991,1
"1008","BWA",1992,1
"1009","BWA",1993,1
"1010","BWA",1994,1
"1011","BWA",1995,1
"1012","BWA",1996,1
"1013","BWA",1997,1
"1014","BWA",1998,1
"1015","BWA",1999,1
"1016","BWA",2000,1
"1017","BWA",2001,1
"1018","BWA",2002,1
"1019","BWA",2003,1
"1020","BWA",2004,1
"1021","BWA",2005,1
"1022","BWA",2006,1
"1023","BWA",2007,1
"1024","BWA",2008,1
"1025","BWA",2009,1
"1026","BWA",2010,1
"1027","BWA",2011,1
"1028","BWA",2012,1
"1029","CAF",1975,1
"1030","CAF",1976,1
"1031","CAF",1977,1
"1032","CAF",1978,1
"1033","CAF",1979,1
"1034","CAF",1980,0
"1035","CAF",1981,0
"1036","CAF",1982,0
"1037","CAF",1983,0
"1038","CAF",1984,0
"1039","CAF",1985,0
"1040","CAF",1986,0
"1041","CAF",1987,0
"1042","CAF",1988,0
"1043","CAF",1989,0
"1044","CAF",1990,0
"1045","CAF",1991,0
"1046","CAF",1992,0
"1047","CAF",1993,0
"1048","CAF",1994,1
"1049","CAF",1995,1
"1050","CAF",1996,1
"1051","CAF",1997,1
"1052","CAF",1998,1
"1053","CAF",1999,1
"1054","CAF",2000,1
"1055","CAF",2001,1
"1056","CAF",2002,1
"1057","CAF",2003,1
"1058","CAF",2004,NA
"1059","CAF",2005,NA
"1060","CAF",2006,NA
"1061","CAF",2007,NA
"1062","CAF",2008,NA
"1063","CAF",2009,NA
"1064","CAF",2010,NA
"1065","CAF",2011,NA
"1066","CAF",2012,0
"1067","CAN",1975,3
"1068","CAN",1976,3
"1069","CAN",1977,3
"1070","CAN",1978,3
"1071","CAN",1979,3
"1072","CAN",1980,1
"1073","CAN",1981,3
"1074","CAN",1982,3
"1075","CAN",1983,3
"1076","CAN",1984,3
"1077","CAN",1985,1
"1078","CAN",1986,1
"1079","CAN",1987,1
"1080","CAN",1988,1
"1081","CAN",1989,1
"1082","CAN",1990,1
"1083","CAN",1991,1
"1084","CAN",1992,1
"1085","CAN",1993,1
"1086","CAN",1994,3
"1087","CAN",1995,3
"1088","CAN",1996,3
"1089","CAN",1997,3
"1090","CAN",1998,3
"1091","CAN",1999,3
"1092","CAN",2000,3
"1093","CAN",2001,3
"1094","CAN",2002,3
"1095","CAN",2003,3
"1096","CAN",2004,3
"1097","CAN",2005,3
"1098","CAN",2006,3
"1099","CAN",2007,1
"1100","CAN",2008,1
"1101","CAN",2009,1
"1102","CAN",2010,1
"1103","CAN",2011,1
"1104","CAN",2012,1
"1105","CHE",1975,NA
"1106","CHE",1976,NA
"1107","CHE",1977,NA
"1108","CHE",1978,NA
"1109","CHE",1979,NA
"1110","CHE",1980,NA
"1111","CHE",1981,NA
"1112","CHE",1982,NA
"1113","CHE",1983,NA
"1114","CHE",1984,NA
"1115","CHE",1985,NA
"1116","CHE",1986,NA
"1117","CHE",1987,NA
"1118","CHE",1988,NA
"1119","CHE",1989,NA
"1120","CHE",1990,NA
"1121","CHE",1991,NA
"1122","CHE",1992,NA
"1123","CHE",1993,NA
"1124","CHE",1994,NA
"1125","CHE",1995,NA
"1126","CHE",1996,NA
"1127","CHE",1997,NA
"1128","CHE",1998,NA
"1129","CHE",1999,NA
"1130","CHE",2000,NA
"1131","CHE",2001,NA
"1132","CHE",2002,NA
"1133","CHE",2003,NA
"1134","CHE",2004,NA
"1135","CHE",2005,NA
"1136","CHE",2006,NA
"1137","CHE",2007,NA
"1138","CHE",2008,NA
"1139","CHE",2009,NA
"1140","CHE",2010,NA
"1141","CHE",2011,NA
"1142","CHE",2012,NA
