"","location","time","gini_net","gini_market","rel_red","abs_red"
"2433","MUS",1984,37.3567230796814,40.9372212219238,0.0874631456500742,3.58049814224243
"2434","MUS",1985,37.080295829773,40.8983988571167,0.0933558069273746,3.81810302734375
"2435","MUS",1986,37.104335269928,40.8595770263672,0.0919060359830917,3.75524175643921
"2436","MUS",1987,37.4238894462585,40.8207546615601,0.0832141699354781,3.39686521530152
"2437","MUS",1988,37.4745962524414,40.7819323730469,0.0810980728022421,3.30733612060547
"2438","MUS",1989,37.5253030395508,40.7431101226807,0.0789779443307302,3.21780708312988
"2439","MUS",1990,37.5760098648071,40.7042881011963,0.0768537759120574,3.12827823638916
"2440","MUS",1991,36.9667129898071,40.6654658126831,0.0909556241139226,3.69875282287597
"2441","MUS",1992,37.652387008667,41.3503851318359,0.0894308024309508,3.69799812316894
"2442","MUS",1993,38.3380614089966,42.0353044509888,0.0879556622767655,3.69724304199219
"2443","MUS",1994,39.0237357521057,42.7202236366272,0.0865278214824749,3.69648788452148
"2444","MUS",1995,39.7094101715088,43.4051429748535,0.0851450438830677,3.69573280334473
"2445","MUS",1996,40.3950842094421,44.0900622749329,0.0838052358023427,3.69497806549072
"2446","MUS",1997,43.2385250473022,45.7029430389404,0.0539225228786343,2.46441799163819
"2447","MUS",1998,42.1923862075806,44.8772387504578,0.0598265984635654,2.68485254287719
"2448","MUS",1999,41.1462467956543,44.0515346336365,0.0659520232869204,2.90528783798217
"2449","MUS",2000,40.1001075744629,43.2258301353455,0.0723114524601505,3.12572256088257
"2450","MUS",2001,39.0539687728882,42.4001258659363,0.078918565091722,3.3461570930481
"2451","MUS",2002,41.3085405158997,43.4347383880615,0.0489515523995023,2.12619787216187
"2452","MUS",2003,40.2152824401855,42.8684937667847,0.0618918719429064,2.65321132659912
"2453","MUS",2004,39.955983543396,42.3022491073608,0.0554643219562663,2.34626556396484
"2454","MUS",2005,39.3162077331543,41.7360048675537,0.0579786479822031,2.41979713439941
"2455","MUS",2006,39.0099435806274,41.1697602081299,0.0524612389429447,2.15981662750244
"2456","MUS",2007,38.8026504325867,NA,NA,NA
"2457","MEX",1963,54.7582679748535,55.8958140182495,0.0203511848494521,1.13754604339599
"2458","MEX",1968,52.2251202392578,52.9705918884277,0.0140733116733925,0.745471649169922
"2459","MEX",1969,52.6792678833008,53.2399559020996,0.010531338903245,0.560688018798828
"2460","MEX",1970,48.7514453125,49.394860534668,0.0130259548301869,0.643415222167967
"2461","MEX",1971,50.1637294769287,50.5752892303467,0.00813756598688951,0.411559753417968
"2462","MEX",1972,50.2090448379517,50.8059326553345,0.0117483881544323,0.596887817382814
"2463","MEX",1973,51.9362315750122,52.4023138046265,0.00889430629632063,0.466082229614258
"2464","MEX",1974,52.6451317977905,53.232459564209,0.0110332637497245,0.587327766418461
"2465","MEX",1975,55.6532998657227,56.7045611953735,0.0185392728113845,1.05126132965088
"2466","MEX",1976,52.9520718002319,53.5731559753418,0.0115931974475376,0.621084175109864
"2467","MEX",1977,52.5040536880493,53.8968137741089,0.0258412323202791,1.39276008605957
"2468","MEX",1978,51.3447422790527,51.4837380218506,0.00269979896834338,0.138995742797853
"2469","MEX",1979,50.6668820571899,50.5978691482544,-0.00136394891913999,-0.069012908935548
"2470","MEX",1980,49.3657421875,48.7956261444092,-0.0116837529946553,-0.57011604309082
"2471","MEX",1981,48.2507767868042,47.7714463424683,-0.0100338273390275,-0.479330444335943
"2472","MEX",1982,46.4879095840454,46.0693031692505,-0.00908644989174324,-0.418606414794922
"2473","MEX",1983,45.6887502288818,45.547730140686,-0.00309609475072028,-0.141020088195802
"2474","MEX",1984,42.9456572341919,43.0889148712158,0.00332469818402476,0.143257637023929
"2475","MEX",1985,45.2912562942505,45.3976045227051,0.00234259559667744,0.106348228454593
"2476","MEX",1986,45.2231391906738,45.6299367904663,0.00891514712502248,0.406797599792483
"2477","MEX",1987,45.8005148696899,46.0961610412598,0.00641368315476844,0.295646171569821
"2478","MEX",1988,45.4022337722778,46.0527779006958,0.0141260561918924,0.65054412841797
"2479","MEX",1989,45.2291432952881,45.633526725769,0.00886154236798465,0.404383430480962
"2480","MEX",1990,45.9239672470093,46.5447508621216,0.0133373496176021,0.620783615112302
"2481","MEX",1991,47.020157585144,47.2693452453613,0.00527165457705893,0.249187660217288
"2482","MEX",1992,47.4063158798218,47.9688119888306,0.0117262880961023,0.562496109008791
"2483","MEX",1993,48.1866837310791,48.3779939651489,0.0039544887745375,0.191310234069825
"2484","MEX",1994,48.4835293579102,49.1828674697876,0.0142191406856673,0.699338111877438
"2485","MEX",1995,48.2081879806519,48.8250408172607,0.012633944104985,0.616852836608885
"2486","MEX",1996,47.0225803375244,47.8027005004883,0.0163195835129836,0.780120162963861
"2487","MEX",1997,48.0511050033569,48.6879974746704,0.0130810981011248,0.63689247131348
"2488","MEX",1998,48.5884115982056,49.3205313491821,0.0148441172661596,0.732119750976558
"2489","MEX",1999,48.6274868392944,49.1619586181641,0.0108716534876248,0.53447177886963
"2490","MEX",2000,48.6665620040894,49.0033860015869,0.00687348416059752,0.336823997497554
"2491","MEX",2001,47.7438632965088,48.5962392807007,0.0175399577582211,0.852375984191895
"2492","MEX",2002,46.8211644363403,48.1890928649902,0.0283866814526346,1.3679284286499
"2493","MEX",2003,46.2650594711304,47.6561526107788,0.0291902107794955,1.39109313964844
"2494","MEX",2004,45.7089547348022,47.1232121276855,0.0300119055774724,1.4142573928833
"2495","MEX",2005,45.9647388458252,47.5404007339478,0.0331436391741942,1.57566188812256
"2496","MEX",2006,45.8782910919189,47.6857862854004,0.0379042757660228,1.80749519348144
"2497","MEX",2007,45.5507839202881,47.6350698852539,0.043755283029637,2.08428596496582
"2498","MEX",2008,45.2232766342163,47.5843539810181,0.0496187748549369,2.36107734680176
"2499","MEX",2009,44.3559672927856,46.9854915618896,0.0559646005967688,2.629524269104
"2500","MEX",2010,43.488657989502,46.3866291427612,0.0624742777566435,2.89797115325928
"2501","MEX",2011,43.8836803817749,46.8400578308105,0.0631164346490407,2.95637744903564
"2502","MEX",2012,44.2787027740479,47.2934865188599,0.0637462781182303,3.01478374481201
"2503","MDA",1981,20.753673248291,21.9027612280846,0.05246315602985,1.14908797979355
"2504","MDA",1986,22.6517210769653,25.161362247467,0.0997418639666201,2.50964117050171
"2505","MDA",1987,22.9987233161926,25.0654476547241,0.0824531190107022,2.06672433853149
"2506","MDA",1988,23.3457255935669,24.9695328712463,0.0650315440842443,1.62380727767944
"2507","MDA",1989,23.2567896270752,24.5547208595276,0.0528587247999105,1.29793123245239
"2508","MDA",1990,24.100385684967,25.4787479972839,0.0540985103531708,1.3783623123169
"2509","MDA",1991,28.4426925086975,31.3120834732056,0.0916384553893853,2.86939096450806
"2510","MDA",1992,31.4015312194824,33.8588605499268,0.0725756652921285,2.45732933044434
"2511","MDA",1993,34.3603701972961,36.4056378746033,0.0561799709251604,2.04526767730713
"2512","MDA",1994,34.3821450996399,36.2883624839783,0.052529716246634,1.90621738433838
"2513","MDA",1995,35.9071911239624,38.4912586593628,0.0671338798834479,2.58406753540039
"2514","MDA",1996,37.1773968887329,40.3711893463135,0.0791106853499775,3.19379245758057
"2515","MDA",1997,39.2496415710449,42.9635553359985,0.0864433526487456,3.71391376495362
