"","LOCATION","TIME","GGEXP"
"383","PRT",1998,42.6984226054034
"384","PRT",1999,42.55269727276
"385","PRT",2000,42.6440925501827
"386","PRT",2001,44.1132394361137
"387","PRT",2002,43.7186228834554
"388","PRT",2003,45.3225786179732
"389","PRT",2004,46.0642255541096
"390","PRT",2005,46.6768329907619
"391","PRT",2006,45.2415947996951
"392","PRT",2007,44.486599207306
"393","PRT",2008,45.3355003283846
"394","PRT",2009,50.223470529961
"395","PRT",2010,51.8186002439662
"396","PRT",2011,49.9798264799127
"397","PRT",2012,48.8228869316114
"398","PRT",2013,50.3522986262816
"399","RUS",2005,34.1538875097927
"400","RUS",2006,32.3963025368603
"401","RUS",2007,35.2588505777328
"402","RUS",2008,34.3642023916884
"403","RUS",2009,41.4195586797349
"404","RUS",2010,39.2619877863913
"405","RUS",2011,36.3372822145978
"406","RUS",2012,37.7007631581677
"407","RUS",2013,38.7373175161751
"408","SVK",1995,48.1526307977262
"409","SVK",1996,53.087239180575
"410","SVK",1997,48.239008038053
"411","SVK",1998,45.3587457240653
"412","SVK",1999,47.7395147173271
"413","SVK",2000,51.8297261700046
"414","SVK",2001,44.2954662844643
"415","SVK",2002,44.8683500321702
"416","SVK",2003,39.6479393733209
"417","SVK",2004,37.5729203069564
"418","SVK",2005,39.3808317665208
"419","SVK",2006,38.4881414541717
"420","SVK",2007,36.0521079707615
"421","SVK",2008,36.312522662724
"422","SVK",2009,43.8251569822891
"423","SVK",2010,41.8713409748109
"424","SVK",2011,40.3953005412166
"425","SVK",2012,40.0687638745334
"426","SVK",2013,40.8920214194097
"427","SVN",1999,45.823562087022
"428","SVN",2000,46.1411165079619
"429","SVN",2001,46.9512365245378
"430","SVN",2002,45.830562315827
"431","SVN",2003,45.8134216421545
"432","SVN",2004,45.3210203558019
"433","SVN",2005,44.8806566620818
"434","SVN",2006,44.1956965816923
"435","SVN",2007,42.1582022832457
"436","SVN",2008,43.9675014143166
"437","SVN",2009,48.4628465252086
"438","SVN",2010,49.1813928059443
"439","SVN",2011,49.7777012871209
"440","SVN",2012,48.1246538804706
"441","SVN",2013,60.0942923575512
"442","SWE",1995,63.5100941726367
"443","SWE",1996,61.436523854505
"444","SWE",1997,59.2471701280815
"445","SWE",1998,57.2707595388482
"446","SWE",1999,56.5716977068209
"447","SWE",2000,53.5937451425374
"448","SWE",2001,53.0387025700831
"449","SWE",2002,54.2419167306127
"450","SWE",2003,54.3693504929698
"451","SWE",2004,52.7805098899689
"452","SWE",2005,52.6906614678924
"453","SWE",2006,51.3488676159158
"454","SWE",2007,49.6523410451697
"455","SWE",2008,50.3360344598047
"456","SWE",2009,53.0980149362523
"457","SWE",2010,52.041310297688
"458","SWE",2011,51.4396387659825
"459","SWE",2012,52.594387755102
"460","SWE",2013,53.3685030593577
"461","TUR",2006,32.9860457012314
"462","TUR",2007,34.7045330707274
"463","TUR",2008,36.3365862982469
"464","TUR",2009,43.1110301496977
"465","TUR",2010,40.2419356459247
"466","TUR",2011,37.373516333397
"467","USA",1970,34.0122169304498
"468","USA",1971,34.3009325466487
"469","USA",1972,34.1289985020847
"470","USA",1973,33.0160183514881
"471","USA",1974,34.1787484060497
"472","USA",1975,36.4771514154287
"473","USA",1976,35.0205875946095
"474","USA",1977,34.0795637097899
"475","USA",1978,33.2866270526116
"476","USA",1979,33.1318245247314
"477","USA",1980,34.914873511138
"478","USA",1981,35.0845667147105
"479","USA",1982,37.2836578633545
"480","USA",1983,37.3176436181485
"481","USA",1984,36.1604061481533
"482","USA",1985,36.7199143080759
"483","USA",1986,37.1306415578559
"484","USA",1987,36.8772069088503
"485","USA",1988,36.0165547576271
"486","USA",1989,36.0917426944163
"487","USA",1990,37.0259895788824
"488","USA",1991,37.8751168399702
"489","USA",1992,38.7045614522291
"490","USA",1993,38.1426306471642
"491","USA",1994,37.1849514725832
"492","USA",1995,37.1185898857786
"493","USA",1996,36.4231332037316
"494","USA",1997,35.3061823090277
"495","USA",1998,34.4338447699503
"496","USA",1999,34.0088383524708
"497","USA",2000,33.6711756275949
"498","USA",2001,34.9476794192787
"499","USA",2002,36.0181276015681
"500","USA",2003,36.5635970799267
"501","USA",2004,36.3089298772262
"502","USA",2005,36.4042824784939
"503","USA",2006,36.1446772664444
"504","USA",2007,36.9024429749748
"505","USA",2008,38.951177497941
"506","USA",2009,42.9050210285379
"507","USA",2010,42.5924121640387
"508","USA",2011,41.4858403113921
"509","USA",2012,40.0758395961666
"510","USA",2013,38.9586798412469
