"","location","TIME","gdpv_annpct_quarterly"
"676","BEL",1995.75,0.356708
"677","BEL",1996,-0.107329
"678","BEL",1996.25,0.715831
"679","BEL",1996.5,0.462745
"680","BEL",1996.75,0.792972
"681","BEL",1997,1.011124
"682","BEL",1997.25,1.441227
"683","BEL",1997.5,0.833222
"684","BEL",1997.75,0.577376
"685","BEL",1998,0.339697
"686","BEL",1998.25,0.289996
"687","BEL",1998.5,0.277382
"688","BEL",1998.75,0.253128
"689","BEL",1999,1.133598
"690","BEL",1999.25,1.306205
"691","BEL",1999.5,1.401151
"692","BEL",1999.75,1.182602
"693","BEL",2000,0.822108
"694","BEL",2000.25,0.617693
"695","BEL",2000.5,0.358821
"696","BEL",2000.75,0.892629
"697","BEL",2001,0.014464
"698","BEL",2001.25,-0.10003
"699","BEL",2001.5,-0.241278
"700","BEL",2001.75,-0.05321
"701","BEL",2002,1.005469
"702","BEL",2002.25,0.834941
"703","BEL",2002.5,0.490639
"704","BEL",2002.75,0.316826
"705","BEL",2003,-0.319361
"706","BEL",2003.25,0.057929
"707","BEL",2003.5,0.345011
"708","BEL",2003.75,0.748878
"709","BEL",2004,1.635053
"710","BEL",2004.25,0.940641
"711","BEL",2004.5,0.837321
"712","BEL",2004.75,0.321979
"713","BEL",2005,0.470721
"714","BEL",2005.25,0.457307
"715","BEL",2005.5,0.349229
"716","BEL",2005.75,0.80499
"717","BEL",2006,0.704808
"718","BEL",2006.25,0.282579
"719","BEL",2006.5,0.797291
"720","BEL",2006.75,1.073789
"721","BEL",2007,1.344325
"722","BEL",2007.25,0.338499
"723","BEL",2007.5,0.717938
"724","BEL",2007.75,0.494055
"725","BEL",2008,0.644738
"726","BEL",2008.25,0.114875
"727","BEL",2008.5,-0.543737
"728","BEL",2008.75,-2.093294
"729","BEL",2009,-1.141213
"730","BEL",2009.25,-0.108459
"731","BEL",2009.5,1.043839
"732","BEL",2009.75,0.939432
"733","BEL",2010,0.395253
"734","BEL",2010.25,1.013113
"735","BEL",2010.5,0.432361
"736","BEL",2010.75,0.404628
"737","BEL",2011,0.79981
"738","BEL",2011.25,0.206546
"739","BEL",2011.5,0.069387
"740","BEL",2011.75,0.105028
"741","BEL",2012,0.281139
"742","BEL",2012.25,-0.295588
"743","BEL",2012.5,-0.150779
"744","BEL",2012.75,0.011223
"745","BEL",2013,-0.222404
"746","BEL",2013.25,0.208585
"747","BEL",2013.5,0.261208
"748","BEL",2013.75,0.373491
"749","BEL",2014,0.419755
