"","TIME","location","gini_toth"
"434",2010,"HUN",NA
"435",1980,"IRL",NA
"436",1981,"IRL",NA
"437",1982,"IRL",NA
"438",1983,"IRL",NA
"439",1984,"IRL",NA
"440",1985,"IRL",NA
"441",1986,"IRL",NA
"442",1987,"IRL",0.31
"443",1988,"IRL",NA
"444",1989,"IRL",NA
"445",1990,"IRL",NA
"446",1991,"IRL",NA
"447",1992,"IRL",NA
"448",1993,"IRL",NA
"449",1994,"IRL",0.32
"450",1995,"IRL",0.336
"451",1996,"IRL",0.325
"452",1997,"IRL",NA
"453",1998,"IRL",NA
"454",1999,"IRL",NA
"455",2000,"IRL",0.3
"456",2001,"IRL",NA
"457",2002,"IRL",NA
"458",2003,"IRL",NA
"459",2004,"IRL",0.318
"460",2005,"IRL",0.324
"461",2006,"IRL",0.324
"462",2007,"IRL",0.317
"463",2008,"IRL",0.307
"464",2009,"IRL",0.293
"465",2010,"IRL",0.316
"466",1980,"ITA",0.307
"467",1981,"ITA",0.299
"468",1982,"ITA",0.287
"469",1983,"ITA",0.292
"470",1984,"ITA",0.302
"471",1985,"ITA",0.297
"472",1986,"ITA",0.292
"473",1987,"ITA",0.307
"474",1988,"ITA",0.295
"475",1989,"ITA",0.283
"476",1990,"ITA",0.28
"477",1991,"ITA",0.278
"478",1992,"ITA",0.296
"479",1993,"ITA",0.314
"480",1994,"ITA",0.314
"481",1995,"ITA",0.314
"482",1996,"ITA",0.314
"483",1997,"ITA",0.314
"484",1998,"ITA",0.315
"485",1999,"ITA",0.312
"486",2000,"ITA",0.31
"487",2001,"ITA",0.31
"488",2002,"ITA",0.31
"489",2003,"ITA",0.312
"490",2004,"ITA",0.315
"491",2005,"ITA",0.308
"492",2006,"ITA",0.302
"493",2007,"ITA",0.303
"494",2008,"ITA",0.304
"495",2009,"ITA",0.31
"496",2010,"ITA",0.316
"497",1980,"JPN",NA
"498",1981,"JPN",NA
"499",1982,"JPN",NA
"500",1983,"JPN",NA
"501",1984,"JPN",0.255
"502",1985,"JPN",NA
"503",1986,"JPN",NA
"504",1987,"JPN",NA
"505",1988,"JPN",NA
"506",1989,"JPN",0.26
"507",1990,"JPN",NA
"508",1991,"JPN",NA
"509",1992,"JPN",NA
"510",1993,"JPN",NA
"511",1994,"JPN",0.261
"512",1995,"JPN",NA
"513",1996,"JPN",NA
"514",1997,"JPN",NA
"515",1998,"JPN",NA
"516",1999,"JPN",0.268
"517",2000,"JPN",NA
"518",2001,"JPN",NA
"519",2002,"JPN",NA
"520",2003,"JPN",NA
"521",2004,"JPN",0.271
"522",2005,"JPN",NA
"523",2006,"JPN",NA
"524",2007,"JPN",NA
"525",2008,"JPN",NA
"526",2009,"JPN",NA
"527",2010,"JPN",NA
"528",1980,"KOR",NA
"529",1981,"KOR",NA
"530",1982,"KOR",NA
"531",1983,"KOR",NA
"532",1984,"KOR",NA
"533",1985,"KOR",NA
"534",1986,"KOR",NA
"535",1987,"KOR",NA
"536",1988,"KOR",NA
"537",1989,"KOR",NA
"538",1990,"KOR",NA
"539",1991,"KOR",NA
"540",1992,"KOR",NA
"541",1993,"KOR",NA
"542",1994,"KOR",NA
"543",1995,"KOR",NA
"544",1996,"KOR",NA
"545",1997,"KOR",NA
"546",1998,"KOR",NA
"547",1999,"KOR",NA
"548",2000,"KOR",NA
"549",2001,"KOR",NA
"550",2002,"KOR",NA
"551",2003,"KOR",NA
"552",2004,"KOR",NA
"553",2005,"KOR",NA
"554",2006,"KOR",NA
"555",2007,"KOR",NA
"556",2008,"KOR",NA
"557",2009,"KOR",NA
"558",2010,"KOR",NA
"559",1980,"LVA",NA
"560",1981,"LVA",0.246
"561",1982,"LVA",0.242
"562",1983,"LVA",0.239
"563",1984,"LVA",0.235
